name,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d
Bitcoin,-0.05318938,-1.75903701,11.10076839,-1.70920244,-4.55442909,-1.33241392
Ethereum,-0.93684254,-1.37570409,8.98150611,-0.59266687,10.7673633,10.13256048
Tether USDt,-0.05048808,-0.02698275,-0.00941118,0.05040977,-0.00427132,-0.04960285
BNB,-0.38019598,-1.44053211,7.82650891,-2.68674398,-1.47981483,1.42100489
Solana,-1.13856785,-1.33915053,12.85566523,15.21635799,-6.20243368,7.02589244
USDC,-0.03361074,-0.01280399,0.00032187,-0.0121238,-0.00338234,-0.01389208
XRP,-1.37883425,-6.61636608,28.51539348,17.03957161,10.89793248,12.99050212
Toncoin,-0.74133935,-1.71105947,-0.30796506,1.88429104,12.13202367,11.39230304
Dogecoin,-0.74544451,-4.43492865,10.45748458,-0.71170065,-20.77929918,-22.26139151
Cardano,-1.1638467,-5.27389902,8.01644509,13.83665875,-9.1769039,-9.75197511
TRON,-0.38490071,-0.62308095,-0.66814742,16.42296671,10.52931246,21.28531949
Avalanche,-0.71228696,-4.14418845,6.94864753,2.65089443,-24.65354638,-23.43987067
Shiba Inu,-1.96782421,-9.71614589,4.7241603,-3.24053439,-28.4956641,-24.87554066
Polkadot,-0.85574532,-5.19334655,1.0116156,5.40142404,-12.85601206,-10.37378442
Chainlink,-0.99409953,-4.83492164,6.21439387,0.03564417,-19.61756529,-3.28254872
Bitcoin Cash,0.14191731,-0.80431108,6.49512967,-1.7858692,-22.56010618,-21.39450793
NEAR Protocol,-1.85916946,-3.36820837,22.08304943,28.85642949,-23.8489235,6.05781193
UNUS SED LEO,-0.39750637,-1.06680092,2.27177469,1.7995696,-1.77759049,-0.31515104
Litecoin,-0.63706135,-1.48697344,4.72731484,-0.62228412,-13.46185876,-12.386253
Dai,0.0034032,0.00368724,-0.0225979,0.0120079,-0.00654885,-0.00824151
