,name,percentage change,averages
0,Bitcoin,quote.USD.percent_change_1h,-0.27962403
1,Bitcoin,quote.USD.percent_change_24h,-2.0899172
2,Bitcoin,quote.USD.percent_change_7d,10.4197333
3,Bitcoin,quote.USD.percent_change_30d,-1.71000635
4,Bitcoin,quote.USD.percent_change_60d,-4.42436546
5,Bitcoin,quote.USD.percent_change_90d,-1.46086569
6,Ethereum,quote.USD.percent_change_1h,-0.03812285
7,Ethereum,quote.USD.percent_change_24h,-0.78003839
8,Ethereum,quote.USD.percent_change_7d,9.17368185
9,Ethereum,quote.USD.percent_change_30d,-0.03788396
10,Ethereum,quote.USD.percent_change_60d,10.29376467
11,Ethereum,quote.USD.percent_change_90d,10.04493252
12,Tether USDt,quote.USD.percent_change_1h,0.00224315
13,Tether USDt,quote.USD.percent_change_24h,-0.02251036
14,Tether USDt,quote.USD.percent_change_7d,-0.01340743
15,Tether USDt,quote.USD.percent_change_30d,0.03915102
16,Tether USDt,quote.USD.percent_change_60d,-0.01571354
17,Tether USDt,quote.USD.percent_change_90d,-0.0256743
18,BNB,quote.USD.percent_change_1h,-0.24113899
19,BNB,quote.USD.percent_change_24h,-1.21542519
20,BNB,quote.USD.percent_change_7d,7.72977563
21,BNB,quote.USD.percent_change_30d,-2.14404934
22,BNB,quote.USD.percent_change_60d,-1.60972876
23,BNB,quote.USD.percent_change_90d,0.97467939
24,Solana,quote.USD.percent_change_1h,-0.42217962
25,Solana,quote.USD.percent_change_24h,-0.45162565
26,Solana,quote.USD.percent_change_7d,14.11236682
27,Solana,quote.USD.percent_change_30d,18.43795708
28,Solana,quote.USD.percent_change_60d,-7.88456165
29,Solana,quote.USD.percent_change_90d,7.67241967
30,USDC,quote.USD.percent_change_1h,0.00225933
31,USDC,quote.USD.percent_change_24h,0.01523686
32,USDC,quote.USD.percent_change_7d,0.00453949
33,USDC,quote.USD.percent_change_30d,0.01731015
34,USDC,quote.USD.percent_change_60d,-0.00074822
35,USDC,quote.USD.percent_change_90d,0.00895313
36,XRP,quote.USD.percent_change_1h,0.06448199
37,XRP,quote.USD.percent_change_24h,-8.51069456
38,XRP,quote.USD.percent_change_7d,27.41527042
39,XRP,quote.USD.percent_change_30d,18.92792352
40,XRP,quote.USD.percent_change_60d,11.76921222
41,XRP,quote.USD.percent_change_90d,12.38010711
42,Toncoin,quote.USD.percent_change_1h,-0.37557358
43,Toncoin,quote.USD.percent_change_24h,0.76185987
44,Toncoin,quote.USD.percent_change_7d,0.36436353
45,Toncoin,quote.USD.percent_change_30d,4.32768833
46,Toncoin,quote.USD.percent_change_60d,13.0900157
47,Toncoin,quote.USD.percent_change_90d,17.67853447
48,Dogecoin,quote.USD.percent_change_1h,-1.02265325
49,Dogecoin,quote.USD.percent_change_24h,-4.10238647
50,Dogecoin,quote.USD.percent_change_7d,10.09989499
51,Dogecoin,quote.USD.percent_change_30d,-1.35016162
52,Dogecoin,quote.USD.percent_change_60d,-21.43409942
53,Dogecoin,quote.USD.percent_change_90d,-23.25481147
54,Cardano,quote.USD.percent_change_1h,-0.79169735
55,Cardano,quote.USD.percent_change_24h,-4.91798945
56,Cardano,quote.USD.percent_change_7d,6.30007604
57,Cardano,quote.USD.percent_change_30d,13.89410229
58,Cardano,quote.USD.percent_change_60d,-10.21471861
59,Cardano,quote.USD.percent_change_90d,-10.62957131
60,TRON,quote.USD.percent_change_1h,0.02463643
61,TRON,quote.USD.percent_change_24h,-0.19365411
62,TRON,quote.USD.percent_change_7d,-0.51314945
63,TRON,quote.USD.percent_change_30d,16.46548277
64,TRON,quote.USD.percent_change_60d,10.60453889
65,TRON,quote.USD.percent_change_90d,21.30128051
66,Avalanche,quote.USD.percent_change_1h,-0.68561446
67,Avalanche,quote.USD.percent_change_24h,-4.28875507
68,Avalanche,quote.USD.percent_change_7d,5.792767
69,Avalanche,quote.USD.percent_change_30d,3.70018532
70,Avalanche,quote.USD.percent_change_60d,-25.13555496
71,Avalanche,quote.USD.percent_change_90d,-23.94440844
72,Shiba Inu,quote.USD.percent_change_1h,-1.08913929
73,Shiba Inu,quote.USD.percent_change_24h,-9.81309856
74,Shiba Inu,quote.USD.percent_change_7d,3.7956323
75,Shiba Inu,quote.USD.percent_change_30d,-3.29986458
76,Shiba Inu,quote.USD.percent_change_60d,-28.99668055
77,Shiba Inu,quote.USD.percent_change_90d,-25.6650972
78,Polkadot,quote.USD.percent_change_1h,-0.51508201
79,Polkadot,quote.USD.percent_change_24h,-5.1969034
80,Polkadot,quote.USD.percent_change_7d,1.7924046
81,Polkadot,quote.USD.percent_change_30d,7.32619778
82,Polkadot,quote.USD.percent_change_60d,-13.06024511
83,Polkadot,quote.USD.percent_change_90d,-10.62062665
84,Chainlink,quote.USD.percent_change_1h,-0.62533996
85,Chainlink,quote.USD.percent_change_24h,-4.01036192
86,Chainlink,quote.USD.percent_change_7d,6.77690446
87,Chainlink,quote.USD.percent_change_30d,0.49874609
88,Chainlink,quote.USD.percent_change_60d,-20.37973138
89,Chainlink,quote.USD.percent_change_90d,-3.37095879
90,Bitcoin Cash,quote.USD.percent_change_1h,-0.91955343
91,Bitcoin Cash,quote.USD.percent_change_24h,1.35630433
92,Bitcoin Cash,quote.USD.percent_change_7d,9.64283366
93,Bitcoin Cash,quote.USD.percent_change_30d,1.32460512
94,Bitcoin Cash,quote.USD.percent_change_60d,-21.899529
95,Bitcoin Cash,quote.USD.percent_change_90d,-20.60848732
96,NEAR Protocol,quote.USD.percent_change_1h,-0.63115512
97,NEAR Protocol,quote.USD.percent_change_24h,-3.7526572
98,NEAR Protocol,quote.USD.percent_change_7d,20.99613409
99,NEAR Protocol,quote.USD.percent_change_30d,32.02076528
100,NEAR Protocol,quote.USD.percent_change_60d,-23.35584994
101,NEAR Protocol,quote.USD.percent_change_90d,7.10402761
102,UNUS SED LEO,quote.USD.percent_change_1h,-0.44378226
103,UNUS SED LEO,quote.USD.percent_change_24h,-0.02772291
104,UNUS SED LEO,quote.USD.percent_change_7d,-0.93571183
105,UNUS SED LEO,quote.USD.percent_change_30d,0.85462943
106,UNUS SED LEO,quote.USD.percent_change_60d,-2.23963416
107,UNUS SED LEO,quote.USD.percent_change_90d,-0.83017409
108,Dai,quote.USD.percent_change_1h,0.01005824
109,Dai,quote.USD.percent_change_24h,0.00415775
110,Dai,quote.USD.percent_change_7d,-0.0058525
111,Dai,quote.USD.percent_change_30d,0.01488965
112,Dai,quote.USD.percent_change_60d,0.00201851
113,Dai,quote.USD.percent_change_90d,-0.00710875
114,Litecoin,quote.USD.percent_change_1h,-0.47652859
115,Litecoin,quote.USD.percent_change_24h,-2.21069432
116,Litecoin,quote.USD.percent_change_7d,3.88980749
